"Title:","Residential Sector from the Electric Energy Average Price/Revenue/Sales Database"
"SubTitle:","State: Arizona - Energy Finance Metric: Average Price"
"Time:","01/1990 - 06/2021"
"Unit of Measure:","cents/Kilowatt-Hour"
"Citation:","Energy Information Administration (2021-09-20). Residential Sector: Residential Sector | Arizona | Average Price, 01/1990 - 06/2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-003-003 doi:https://doi.org/10.6068/DP17C24DA56887"
"ColumnCount:","2"
"RowCount:","377"

"Time","State: Arizona"
"05/2014",12.43
"06/2014",12.53
"07/2014",12.44
"08/2014",12.44
"09/2014",12.37
"10/2014",11.99
"11/2014",11.17
"12/2014",10.92
"01/2015",11.03
"02/2015",11.59
"03/2015",11.55
"04/2015",12.26
"05/2015",12.69
"06/2015",12.74
"07/2015",12.83
"08/2015",12.64
"09/2015",12.74
"10/2015",12.22
"11/2015",11.29
"12/2015",10.75
"01/2016",10.9
"02/2016",11.46
"03/2016",11.75
"04/2016",12.36
"05/2016",12.94
"06/2016",12.54
"07/2016",12.7
"08/2016",12.56
"09/2016",12.77
"10/2016",12.16
"11/2016",11.66
"12/2016",11.3
"01/2017",11.31
"02/2017",11.66
"03/2017",11.73
"04/2017",12.49
"05/2017",13.04
"06/2017",12.65
"07/2017",12.74
"08/2017",12.72
"09/2017",13.04
"10/2017",12.85
"11/2017",12.26
"12/2017",12.24
"01/2018",12.2
"02/2018",12.2
"03/2018",12.39
"04/2018",13.09
"05/2018",13.3
"06/2018",13.16
"07/2018",12.92
"08/2018",12.91
"09/2018",12.91
"10/2018",13.26
"11/2018",12.65
"12/2018",12.26
"01/2019",12.22
"02/2019",12.21
"03/2019",12.35
"04/2019",12.95
"05/2019",13.25
"06/2019",12.84
"07/2019",12.74
"08/2019",12.52
"09/2019",12.44
"10/2019",12.91
"11/2019",12.12
"12/2019",11.7
"02/2020",11.88
"03/2020",12.16
"04/2020",12.78
"05/2020",12.99
"06/2020",12.77
"07/2020",12.7
"08/2020",12.37
"09/2020",12.53
"10/2020",12.14
"11/2020",11.69
"12/2020",12.18
"01/2021",11.7
"02/2021",12.1
"03/2021",12.18
"04/2021",12.54
"05/2021",13.05
"06/2021",12.66



"Publisher:", "Energy Information Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
